answer_num,mod,id
1,85,396
2,85,396
3,85,396
4,85,396
5,85,396
6,85,396
7,85,396
8,85,396
9,85,396
10,85,396
11,85,396
12,85,396
13,85,396
14,85,396
15,85,396
16,85,396
17,85,396
18,85,396
19,85,396
20,85,396
21,85,396
22,85,396
23,85,396
24,85,396
25,85,396
26,85,396
27,85,396
28,85,396
29,85,225
30,85,396
31,85,396
32,85,396
33,85,396
34,85,396
35,85,396
36,85,396
37,85,396
38,85,396
39,85,396
40,85,396
41,85,396
42,85,396
43,85,396
44,85,396
45,85,396
46,85,396
47,85,396
48,85,396
49,85,396
50,85,396
51,85,396
52,85,396
53,85,396
54,85,396
55,85,396
56,85,396
57,85,396
58,85,396
59,85,396
60,85,396
61,85,396
62,85,396
63,85,396
64,85,396
65,85,396
66,85,396
67,85,396
68,85,396
69,85,396
70,85,396
71,85,396
72,85,396
73,85,396
74,85,396
75,85,225
76,85,396
77,85,396
78,85,396
79,85,396
80,85,225
81,85,225
82,85,396
83,85,225
84,85,396
85,85,396
86,85,396
87,85,396
88,85,396
89,85,396
90,85,396
91,85,396
92,85,396
93,85,396
94,85,396
95,85,396
96,85,396
97,85,396
98,85,396
99,85,396
100,85,396
101,85,396
102,85,396
103,85,396
104,85,396
105,85,396
106,85,396
107,85,396
108,85,396
109,85,396
110,85,396
111,85,396
112,85,396
113,85,396
114,85,396
115,85,396
116,85,396
117,85,396
118,85,396
119,85,225
120,85,396
121,85,396
122,85,396
123,85,396
124,85,225
125,85,396
126,85,225
127,85,396
128,85,225
129,85,225
130,85,396
131,85,396
132,85,396
133,85,396
134,85,396
135,85,396
136,85,396
137,85,225
138,85,396
139,85,396
140,85,396
141,85,396
142,85,396
143,85,396
144,85,396
145,85,225
146,85,396
147,85,396
148,85,396
149,85,225
150,85,396
151,85,396
152,85,396
153,85,396
154,85,396
155,85,396
156,85,396
157,85,396
158,85,396
159,85,396
160,85,396
161,85,396
162,85,396
163,85,396
164,85,225
165,85,396
166,85,396
167,85,396
168,85,396
169,85,396
170,85,396
171,85,396
172,85,396
173,85,396
174,85,396
175,85,396
176,85,396
177,85,396
178,85,225
179,85,225
180,85,396
181,85,396
182,85,225
183,85,396
184,85,396
185,85,396
186,85,396
