code,bigrams,quantity,bigrms_freq,w1,w2,w1_freq,w2_freq,estimate
20640,постановлениеправительство,952,0.0060341002725486466,постановление,правительство,0.003140507269016502,0.0016135336657780736,9.523805502965754
23885,учетныйполитика,424,0.002687456423908221,учетный,политика,0.001080648280768383,0.0010333107465670143,8.60979261371049
5080,заработныйплата,657,0.004164289788933257,заработный,плата,0.0017623087732680886,0.0024439692657677943,8.573725170684169
15777,основнойсредство,1038,0.006579197566077201,основной,средство,0.003202722313966872,0.006003751837710703,8.449688773286981
28292,страховойвзнос,616,0.00390441782341383,страховой,взнос,0.0019178463856440136,0.0023276541817301463,8.344598370244357
25698,письмоминфин,495,0.0031374786081003994,письмо,минфин,0.0017934162957432738,0.0015580811257136134,8.157017258651837
8574,бюджетныйучреждение,1304,0.008265196171642264,бюджетный,учреждение,0.005979406820121428,0.008799371357545806,8.127494909547664
36681,российскийфедерация,250,0.0015845851556062624,российский,федерация,0.0006613729778419765,0.0006275604534124276,8.014656694833022
8634,казенныйучреждение,870,0.0055143563415097924,казенный,учреждение,0.0022803166475287777,0.008799371357545806,7.877406372298201
24731,пояснительныйзаписка,207,0.0013120365088419852,пояснительный,записка,0.0005125978703519613,0.0005437053928271464,7.84668906904207
18081,материальныйпомощь,381,0.002414907777143944,материальный,помощь,0.0019124363817352857,0.0011131083042207497,7.643785061193925
43725,платежныйпоручение,153,0.0009697661152310326,платежный,поручение,0.00040845529510895074,0.00038816778045122136,7.503925513990226
23189,больничныйлист,525,0.003327628826773151,больничный,лист,0.0029349271204848447,0.002273554142642868,7.4630891907791606
42164,контрольныйсоотношение,131,0.0008303226215376814,контрольный,соотношение,0.00032730523647803335,0.0003340677413639431,7.409786889766202
29546,примерзаполнение,434,0.002750839830132471,пример,заполнение,0.0015256211022612464,0.0030039046703211245,7.267740329296193
23584,уходребенок,358,0.0022691259428281674,уход,ребенок,0.0012808184253913124,0.0020936715126776678,7.2261017948137605
17641,указпрезидент,76,0.00048171388730430375,указ,президент,0.0001812351309423821,0.00014336510358128733,7.213442109743426
37273,налогприбыль,452,0.0028649299613361223,налог,прибыль,0.004595798320464287,0.001264588413665129,7.152078690923539
11026,видрасход,553,0.003505102364201052,вид,расход,0.0017690712781539984,0.006118714420771169,7.135188618261259
30410,выходнойпособие,426,0.002700133105153071,выходной,пособие,0.0013362709654557725,0.003718025186273197,7.1311638358424085
16253,должностнойинструкция,233,0.0014768333650250366,должностной,инструкция,0.000551820398690238,0.0016067711608921639,7.044342669317761
28698,дебиторскийзадолженность,243,0.001540216771249287,дебиторский,задолженность,0.0007587530481990774,0.001475578566105514,6.937134421613289
35302,методическийрекомендация,96,0.0006084806997528047,методический,рекомендация,0.0002556226846873897,0.0002718526964135732,6.930513634232201
43354,земельныйучасток,163,0.001033149521455283,земельный,участок,0.000800680578491718,0.0004679653381049568,6.833826175425967
47031,штатныйрасписание,88,0.0005577739747734044,штатный,расписание,0.0003327152403867612,0.00018935013680547385,6.767557467840363
35126,федеральныйзакон,266,0.0016859986055650631,федеральный,закон,0.001201020867737577,0.0014634060573108763,6.75747170689391
46901,прожиточныйминимум,41,0.000259871965519427,прожиточный,минимум,7.709255569937149e-05,8.656006253964519e-05,6.721302831866112
3130,налогимущество,573,0.0036318691766495533,налог,имущество,0.004595798320464287,0.00411430797258751,6.683965358040513
36238,среднийзаработок,173,0.0010965329276795336,средний,заработок,0.0008115005863091736,0.0006492004690473389,6.6716800073226645
25704,приказминфин,435,0.0027571781707548962,приказ,минфин,0.0058333367145857766,0.0015580811257136134,6.589915238309783
25767,материальныйзапас,222,0.0014071116181783609,материальный,запас,0.0019124363817352857,0.0007668680540621691,6.396015978379978
40847,негативныйвоздействие,73,0.00046269886543702857,негативный,воздействие,0.0002339826690524784,0.00022586766318938666,6.3826138994780495
31703,инвентаризационныйопись,73,0.00046269886543702857,инвентаризационный,опись,0.00024750767882429793,0.00021369515439474904,6.381818120524196
26925,инвентарныйкарточка,111,0.0007035558090891804,инвентарный,карточка,0.0003597652599304003,0.0005288278820781448,6.358907718117347
30518,беременностьрод,77,0.00048805222792672876,беременность,род,0.0002934927120484845,0.0002218101602578408,6.3341734671438035
25667,приказминистерство,319,0.0020219306585535905,приказ,министерство,0.0058333367145857766,0.0008236730951038112,6.296887026944203
28709,кредиторскийзадолженность,157,0.0009951194777207328,кредиторский,задолженность,0.000398987788268677,0.001475578566105514,6.2694330568194445
8557,автономныйучреждение,406,0.00257336629270457,автономный,учреждение,0.001173970848193938,0.008799371357545806,6.254908640058961
21579,сроксдача,262,0.0016606452430753629,срок,сдача,0.0026062693830296293,0.001107698300312022,6.215750741963265
11470,бухгалтерскийучет,531,0.003365658870507701,бухгалтерский,учет,0.0027550444905196443,0.008806133862431715,6.206325297209559
41942,штрафнойсанкция,60,0.00038030043734550294,штрафной,санкция,0.0001663576201933806,0.00021099015244038514,6.2035143069917575
29520,образецзаполнение,346,0.002193065855359067,образец,заполнение,0.002277611645574414,0.0030039046703211245,6.187197289423883
23777,амортизационныйгруппа,82,0.000519743931038854,амортизационный,группа,0.0001785301289880182,0.0005247703791465989,6.158871462530525
24680,журналоперация,164,0.001039487862077708,журнал,операция,0.0008196155921722653,0.000925110668392458,6.1472823627281405
37662,окружающийсреда,67,0.0004246688217024783,окружающий,среда,0.00021910515830347686,0.0002542701837102077,6.072560543057976
38181,межбюджетныйтрансферт,48,0.0003042403498764024,межбюджетный,трансферт,0.00015824261433028885,0.00015283261042156103,5.906562262160986
